direction,pulse_us,angle_deg,valid
U,904,33.838,1
U,905,34.189,1
U,906,34.277,1
U,907,34.365,1
U,908,34.541,1
U,909,34.805,1
U,910,34.805,1
U,911,34.805,1
U,912,34.805,1
U,913,34.980,1
U,914,35.156,1
U,915,35.332,1
U,916,35.244,1
U,917,35.244,1
U,918,35.332,1
U,919,35.596,1
U,920,35.771,1
U,921,35.947,1
U,922,36.123,1
U,923,36.211,1
U,924,36.123,1
U,925,36.211,1
U,926,36.211,1
U,927,36.211,1
U,928,36.123,1
U,929,36.211,1
U,930,36.475,1
U,931,36.650,1
U,932,36.650,1
U,933,36.650,1
U,934,36.826,1
U,935,37.090,1
U,936,37.178,1
U,937,37.090,1
U,938,37.178,1
U,939,37.441,1
U,940,37.705,1
U,941,37.881,1
U,942,37.969,1
U,943,38.057,1
U,944,38.145,1
U,945,38.145,1
U,946,38.145,1
U,947,38.145,1
U,948,38.145,1
U,949,38.145,1
U,950,38.496,1
U,951,38.672,1
U,952,38.848,1
U,953,38.848,1
U,954,38.848,1
U,955,39.111,1
U,956,39.375,1
U,957,39.551,1
U,958,39.551,1
U,959,39.639,1
U,960,39.814,1
U,961,39.814,1
U,962,39.814,1
U,963,39.990,1
U,964,40.166,1
U,965,40.078,1
U,966,40.166,1
U,967,40.430,1
U,968,40.430,1
U,969,40.342,1
U,970,40.430,1
U,971,40.605,1
U,972,40.781,1
U,973,40.869,1
U,974,40.781,1
U,975,40.869,1
U,976,41.045,1
U,977,41.396,1
U,978,41.572,1
U,979,41.572,1
U,980,41.660,1
U,981,41.836,1
U,982,42.012,1
U,983,42.012,1
U,984,42.012,1
U,985,42.012,1
U,986,42.012,1
U,987,42.012,1
U,988,42.012,1
U,989,42.012,1
U,990,42.275,1
U,991,42.715,1
U,992,42.891,1
U,993,42.979,1
U,994,42.979,1
U,995,42.979,1
U,996,42.979,1
U,997,42.979,1
U,998,43.330,1
U,999,43.594,1
U,1000,43.682,1
U,1001,43.682,1
U,1002,43.770,1
U,1003,43.945,1
U,1004,44.121,1
U,1005,44.121,1
U,1006,44.297,1
U,1007,44.648,1
U,1008,45.000,1
U,1009,45.176,1
U,1010,45.264,1
U,1011,45.264,1
U,1012,45.264,1
U,1013,45.264,1
U,1014,45.264,1
U,1015,45.439,1
U,1016,45.703,1
U,1017,45.791,1
U,1018,45.791,1
U,1019,45.879,1
U,1020,46.055,1
U,1021,45.967,1
U,1022,46.055,1
U,1023,46.318,1
U,1024,46.670,1
U,1025,46.670,1
U,1026,46.758,1
U,1027,46.846,1
U,1028,46.846,1
U,1029,46.934,1
U,1030,46.934,1
U,1031,46.934,1
U,1032,47.109,1
U,1033,47.285,1
U,1034,47.285,1
U,1035,47.373,1
U,1036,47.637,1
U,1037,47.725,1
U,1038,47.725,1
U,1039,47.725,1
U,1040,47.725,1
U,1041,47.725,1
U,1042,47.725,1
U,1043,47.725,1
U,1044,47.900,1
U,1045,48.252,1
U,1046,48.604,1
U,1047,48.955,1
U,1048,49.131,1
U,1049,49.131,1
U,1050,49.131,1
U,1051,49.131,1
U,1052,49.131,1
U,1053,49.131,1
U,1054,49.131,1
U,1055,49.131,1
U,1056,49.219,1
U,1057,49.570,1
U,1058,49.834,1
U,1059,49.922,1
U,1060,50.098,1
U,1061,50.186,1
U,1062,50.098,1
U,1063,50.098,1
U,1064,50.273,1
U,1065,50.537,1
U,1066,50.713,1
U,1067,50.625,1
U,1068,50.625,1
U,1069,50.801,1
U,1070,50.889,1
U,1071,50.889,1
U,1072,51.064,1
U,1073,51.416,1
U,1074,51.592,1
U,1075,51.592,1
U,1076,51.504,1
U,1077,51.592,1
U,1078,51.592,1
U,1079,51.504,1
U,1080,51.592,1
U,1081,51.855,1
U,1082,52.207,1
U,1083,52.383,1
U,1084,52.471,1
U,1085,52.559,1
U,1086,52.734,1
U,1087,52.734,1
U,1088,52.734,1
U,1089,52.734,1
U,1090,52.734,1
U,1091,52.734,1
U,1092,52.734,1
U,1093,52.910,1
U,1094,53.174,1
U,1095,53.525,1
U,1096,53.613,1
U,1097,53.701,1
U,1098,53.701,1
U,1099,53.613,1
U,1100,53.613,1
U,1101,53.965,1
U,1102,54.229,1
U,1103,54.404,1
U,1104,54.492,1
U,1105,54.580,1
U,1106,54.668,1
U,1107,54.580,1
U,1108,54.580,1
U,1109,54.668,1
U,1110,54.932,1
U,1111,55.195,1
U,1112,55.371,1
U,1113,55.283,1
U,1114,55.283,1
U,1115,55.371,1
U,1116,55.547,1
U,1117,55.811,1
U,1118,55.811,1
U,1119,55.811,1
U,1120,55.811,1
U,1121,56.074,1
U,1122,56.074,1
U,1123,56.074,1
U,1124,56.074,1
U,1125,56.162,1
U,1126,56.338,1
U,1127,56.426,1
U,1128,56.514,1
U,1129,56.689,1
U,1130,57.041,1
U,1131,57.217,1
U,1132,57.305,1
U,1133,57.305,1
U,1134,57.305,1
U,1135,57.305,1
U,1136,57.305,1
U,1137,57.656,1
U,1138,57.920,1
U,1139,58.008,1
U,1140,58.008,1
U,1141,58.008,1
U,1142,58.008,1
U,1143,58.008,1
U,1144,58.096,1
U,1145,58.271,1
U,1146,58.271,1
U,1147,58.271,1
U,1148,58.447,1
U,1149,58.623,1
U,1150,58.711,1
U,1151,59.062,1
U,1152,59.150,1
U,1153,59.150,1
U,1154,59.150,1
U,1155,59.150,1
U,1156,59.150,1
U,1157,59.150,1
U,1158,59.150,1
U,1159,59.238,1
U,1160,59.414,1
U,1161,59.678,1
U,1162,59.941,1
U,1163,60.117,1
U,1164,60.205,1
U,1165,60.381,1
U,1166,60.381,1
U,1167,60.381,1
U,1168,60.381,1
U,1169,60.293,1
U,1170,60.381,1
U,1171,60.381,1
U,1172,60.381,1
U,1173,60.469,1
U,1174,60.732,1
U,1175,60.820,1
U,1176,60.820,1
U,1177,60.820,1
U,1178,60.820,1
U,1179,60.820,1
U,1180,60.820,1
U,1181,60.996,1
U,1182,61.436,1
U,1183,61.787,1
U,1184,61.963,1
U,1185,61.963,1
U,1186,62.051,1
U,1187,62.139,1
U,1188,62.139,1
U,1189,62.227,1
U,1190,62.314,1
U,1191,62.490,1
U,1192,62.402,1
U,1193,62.402,1
U,1194,62.402,1
U,1195,62.578,1
U,1196,62.842,1
U,1197,63.105,1
U,1198,63.105,1
U,1199,63.193,1
U,1200,63.369,1
U,1201,63.457,1
U,1202,63.369,1
U,1203,63.369,1
U,1204,63.545,1
