pulse_us,angle_deg,valid
883,33.311,1
882,33.223,1
881,33.223,1
880,33.311,1
879,33.135,1
878,32.959,1
877,32.871,1
876,32.783,1
875,32.695,1
874,32.695,1
873,32.695,1
872,32.695,1
871,32.520,1
870,32.256,1
869,32.080,1
868,32.080,1
867,32.080,1
866,32.080,1
865,31.816,1
864,31.729,1
863,31.641,1
862,31.465,1
861,31.201,1
860,31.025,1
859,31.113,1
858,31.113,1
857,31.113,1
856,31.025,1
855,30.762,1
854,30.674,1
853,30.674,1
852,30.674,1
851,30.674,1
850,30.674,1
849,30.410,1
848,30.146,1
847,29.971,1
846,29.971,1
845,29.971,1
844,29.883,1
843,29.707,1
842,29.707,1
841,29.707,1
840,29.531,1
839,29.355,1
838,29.355,1
837,29.180,1
836,29.004,1
835,28.828,1
834,28.740,1
833,28.740,1
832,28.564,1
831,28.477,1
830,28.564,1
829,28.564,1
828,28.389,1
827,28.037,1
826,27.861,1
825,27.773,1
824,27.773,1
823,27.773,1
822,27.773,1
821,27.510,1
820,27.334,1
819,27.334,1
818,27.334,1
817,27.246,1
816,27.070,1
815,26.982,1
814,26.982,1
813,26.982,1
812,26.982,1
811,26.719,1
810,26.631,1
809,26.631,1
808,26.543,1
807,26.279,1
806,26.279,1
805,26.367,1
804,26.191,1
803,26.104,1
802,26.016,1
801,25.840,1
800,25.752,1
799,25.664,1
798,25.664,1
797,25.664,1
796,25.400,1
795,25.225,1
794,25.225,1
793,25.225,1
792,25.137,1
791,25.225,1
790,25.225,1
789,25.225,1
788,24.961,1
787,24.697,1
786,24.521,1
785,24.434,1
784,24.434,1
783,24.434,1
782,24.521,1
781,24.346,1
780,24.082,1
779,23.994,1
778,24.082,1
777,23.994,1
776,23.730,1
775,23.467,1
774,23.203,1
773,22.939,1
772,22.676,1
771,22.500,1
770,22.412,1
769,22.412,1
768,22.412,1
767,22.412,1
766,22.412,1
765,22.412,1
764,22.412,1
763,22.412,1
762,22.412,1
761,22.412,1
760,22.236,1
759,21.973,1
758,21.885,1
757,21.973,1
756,21.973,1
755,21.973,1
754,21.885,1
753,21.973,1
752,21.885,1
751,21.533,1
750,21.182,1
749,20.918,1
748,20.742,1
747,20.742,1
746,20.742,1
745,20.742,1
744,20.742,1
743,20.654,1
742,20.391,1
741,20.215,1
740,20.215,1
739,20.215,1
738,20.039,1
737,19.951,1
736,19.863,1
735,19.775,1
734,19.512,1
733,19.600,1
732,19.600,1
731,19.600,1
730,19.512,1
729,19.336,1
728,19.072,1
727,18.809,1
726,18.545,1
725,18.369,1
724,18.369,1
723,18.369,1
722,18.369,1
721,18.369,1
720,18.369,1
719,18.369,1
718,18.369,1
717,18.018,1
716,17.930,1
715,17.930,1
714,17.930,1
713,17.930,1
712,17.842,1
711,17.578,1
710,17.227,1
709,17.051,1
708,16.963,1
707,16.963,1
706,16.963,1
705,16.963,1
704,16.963,1
703,16.875,1
702,16.699,1
701,16.523,1
700,16.260,1
699,16.084,1
698,16.084,1
697,16.084,1
696,16.084,1
695,15.908,1
694,15.645,1
693,15.469,1
692,15.381,1
691,15.381,1
690,15.117,1
689,14.941,1
688,14.941,1
687,14.941,1
686,14.854,1
685,14.941,1
684,14.854,1
683,14.502,1
682,14.326,1
681,14.326,1
680,14.414,1
679,14.414,1
678,14.238,1
677,13.975,1
676,13.887,1
675,13.975,1
674,13.887,1
673,13.623,1
672,13.623,1
671,13.535,1
670,13.447,1
669,13.447,1
668,13.535,1
667,13.447,1
666,13.271,1
665,13.008,1
664,12.920,1
663,12.920,1
662,12.920,1
661,12.656,1
660,12.393,1
659,12.305,1
658,12.129,1
657,11.953,1
656,11.777,1
655,11.777,1
654,11.865,1
653,11.777,1
652,11.602,1
651,11.602,1
650,11.602,1
649,11.338,1
648,11.250,1
647,11.162,1
646,11.162,1
645,10.986,1
644,10.811,1
643,10.811,1
642,10.898,1
641,10.898,1
640,10.811,1
639,10.547,1
638,10.283,1
637,10.107,1
636,9.932,1
635,9.932,1
634,9.932,1
633,9.932,1
632,9.844,1
631,9.668,1
630,9.668,1
629,9.668,1
628,9.404,1
627,9.229,1
626,9.141,1
625,9.229,1
624,9.229,1
623,9.053,1
622,8.789,1
621,8.613,1
620,8.613,1
619,8.613,1
618,8.613,1
617,8.613,1
616,8.525,1
615,8.262,1
614,7.998,1
613,7.734,1
612,7.559,1
611,7.559,1
610,7.559,1
609,7.559,1
608,7.646,1
607,7.559,1
606,7.471,1
605,7.295,1
604,7.207,1
603,7.119,1
602,6.943,1
601,6.855,1
600,6.855,1
599,6.943,1
598,6.855,1
597,6.592,1
596,6.328,1
595,6.152,1
594,5.977,1
593,5.889,1
592,5.977,1
591,5.977,1
590,5.801,1
589,5.625,1
588,5.537,1
587,5.537,1
586,5.449,1
585,5.273,1
584,5.010,1
583,5.010,1
582,4.922,1
581,4.746,1
580,4.834,1
579,4.834,1
578,4.746,1
577,4.570,1
576,4.570,1
575,4.570,1
574,4.395,1
573,4.131,1
572,4.043,1
571,4.131,1
570,4.043,1
569,3.779,1
568,3.516,1
567,3.164,1
566,2.900,1
565,2.813,1
564,2.725,1
563,2.725,1
562,2.725,1
561,2.725,1
560,2.725,1
559,2.725,1
558,2.637,1
557,2.461,1
556,2.373,1
555,2.285,1
554,2.197,1
553,2.021,1
552,2.021,1
551,2.021,1
550,1.934,1
549,1.758,1
548,1.670,1
547,1.758,1
546,1.670,1
545,1.406,1
544,1.230,1
543,1.230,1
542,1.055,1
541,1.055,1
540,1.055,1
539,1.055,1
538,0.879,1
537,0.615,1
536,0.352,1
535,0.352,1
534,0.264,1
533,0.088,1
532,0.088,1
531,0.088,1
530,0.088,1
529,-0.176,1
528,-0.439,1
527,-0.527,1
526,-0.615,1
525,-0.791,1
524,-0.791,1
523,-0.791,1
522,-0.791,1
521,-0.967,1
520,-1.143,1
519,-1.230,1
518,-1.230,1
517,-1.230,1
516,-1.318,1
515,-1.582,1
514,-1.758,1
513,-1.758,1
512,-1.758,1
511,-1.758,1
510,-1.758,1
509,-1.846,1
508,-2.197,1
507,-2.461,1
506,-2.637,1
505,-2.725,1
504,-2.813,1
503,-2.813,1
502,-2.813,1
501,-2.900,1
500,-3.076,1
499,-3.340,1
498,-3.340,1
497,-3.252,1
496,-3.516,1
495,-3.779,1
494,-3.779,1
493,-3.779,1
492,-3.779,1
491,-3.779,1
490,-3.779,1
489,-3.779,1
488,-3.867,1
487,-4.131,1
486,-4.395,1
485,-4.395,1
484,-4.570,1
483,-4.746,1
482,-4.658,1
481,-4.658,1
480,-4.658,1
479,-4.834,1
478,-5.010,1
477,-5.186,1
476,-5.186,1
475,-5.361,1
474,-5.537,1
473,-5.625,1
472,-5.537,1
471,-5.713,1
470,-5.889,1
469,-6.064,1
468,-6.064,1
467,-6.152,1
466,-6.328,1
465,-6.504,1
464,-6.592,1
463,-6.592,1
462,-6.768,1
461,-6.855,1
460,-6.943,1
459,-7.031,1
458,-7.207,1
457,-7.207,1
456,-7.207,1
455,-7.383,1
454,-7.646,1
453,-7.910,1
452,-7.910,1
451,-7.910,1
450,-7.998,1
449,-8.174,1
448,-8.262,1
447,-8.350,1
446,-8.262,1
445,-8.262,1
444,-8.438,1
443,-8.701,1
442,-8.789,1
441,-8.789,1
440,-8.877,1
439,-9.053,1
438,-9.229,1
437,-9.229,1
436,-9.316,1
435,-9.492,1
434,-9.668,1
433,-9.668,1
432,-9.668,1
431,-9.756,1
430,-9.932,1
429,-10.107,1
428,-10.107,1
427,-10.195,1
426,-10.371,1
425,-10.459,1
424,-10.371,1
423,-10.371,1
422,-10.547,1
421,-10.811,1
420,-11.074,1
419,-11.074,1
418,-11.074,1
417,-11.250,1
416,-11.426,1
415,-11.514,1
414,-11.689,1
413,-11.777,1
412,-11.777,1
411,-11.689,1
410,-11.777,1
409,-11.865,1
408,-12.041,1
407,-12.217,1
406,-12.217,1
405,-12.217,1
404,-12.217,1
403,-12.217,1
